epoch,train_loss,train_eval_loss,train_eval_acc,test_loss,test_acc,acc_gap,loss_gap,lr,epoch_time_sec,best_test_acc_so_far
1,1.604124222882092,0.8695255732939889,0.7222720234699699,0.9089321730037531,0.7073011734028684,0.014970850067101527,0.03940659970976412,4.5e-05,98.24670624732971,0.7073011734028684
2,1.4084166732306282,0.6765530861448497,0.7976530030152392,0.7467804411426187,0.7695567144719687,0.02809628854327051,0.070227354997769,4.05e-05,99.11920475959778,0.7695567144719687
3,1.3268428326894839,0.5416019217809662,0.8375030559856572,0.6613375917077065,0.7855280312907431,0.05197502469491411,0.11973566992674023,3.6450000000000005e-05,99.16887736320496,0.7855280312907431
4,1.2747351885773242,0.46779064275324345,0.8560019558308206,0.5960650988854468,0.8109517601043025,0.04505019572651814,0.12827445613220334,3.280500000000001e-05,98.8268928527832,0.8109517601043025
5,1.2390887248329818,0.3781257607624866,0.8958520088012387,0.550509539898485,0.8324641460234681,0.06338786277777064,0.17238377913599834,2.952450000000001e-05,98.86715912818909,0.8324641460234681
6,1.2110321310659249,0.3072718404970753,0.9134544861869448,0.515139881366243,0.8386571056062582,0.07479738058068663,0.20786804086916771,2.657205000000001e-05,98.96828532218933,0.8386571056062582
7,1.1834111878027518,0.26264861072801676,0.9317089071795289,0.5030513752717525,0.8425684485006519,0.08914045867887699,0.24040276454373571,2.391484500000001e-05,99.03274607658386,0.8425684485006519
8,1.1582205716210108,0.2215170302952174,0.9468665960394426,0.4939713190930585,0.8490873533246415,0.0977792427148011,0.2724542887978411,2.152336050000001e-05,99.04039025306702,0.8490873533246415
9,1.1347161922603846,0.19331664588147154,0.9541194686659604,0.48449847288429737,0.8497392438070405,0.10438022485891996,0.2911818270028258,1.937102445000001e-05,99.01755237579346,0.8497392438070405
10,1.1129694607419272,0.1678688179636083,0.9664249042457828,0.4939823652772854,0.8516949152542372,0.11472998899154552,0.3261135473136771,1.7433922005000008e-05,99.18899297714233,0.8516949152542372
11,1.0956039970430236,0.1314983453739842,0.9762040583489529,0.4800850464962423,0.8543024771838331,0.12190158116511973,0.3485867011222581,1.569052980450001e-05,99.20495510101318,0.8543024771838331
12,1.0769619361187022,0.11297790496246307,0.9788933257273246,0.4881045416695997,0.8552803129074316,0.12361301281989301,0.37512663670713664,1.4121476824050009e-05,99.05534672737122,0.8552803129074316
13,1.0705917567635577,0.09564845066900791,0.9849238040909462,0.47992421228749055,0.8604954367666232,0.12442836732432294,0.38427576161848265,1.2709329141645008e-05,99.18528461456299,0.8604954367666232
14,1.0542568230691056,0.08506989572682262,0.9882650150761959,0.4753276981258144,0.8585397653194263,0.12972524975676958,0.39025780239899177,1.1438396227480508e-05,99.21845316886902,0.8604954367666232
15,1.0393199635048707,0.07625747747048688,0.9916062260614457,0.4745082122972235,0.864406779661017,0.12719944640042868,0.3982507348267366,1.0294556604732457e-05,99.21251583099365,0.864406779661017
16,1.0327230830055971,0.06826767273590424,0.9924211555700432,0.4749598467024043,0.8608213820078227,0.13159977356222052,0.4066921739665001,9.265100944259211e-06,99.20314264297485,0.864406779661017
17,1.0240380183483164,0.05938801463768565,0.9945399722923967,0.4698655838922908,0.8614732724902217,0.133066699802175,0.4104775692546051,8.33859084983329e-06,99.34807538986206,0.864406779661017
18,1.0172847908300657,0.05733775856303206,0.9951919158992747,0.4760095881065354,0.8647327249022164,0.13045919099705827,0.4186718295435033,7.504731764849961e-06,99.23272752761841,0.8647327249022164
19,1.0056917422140639,0.04976888307767998,0.9961698313095917,0.4671230122524624,0.8679921773142112,0.1281776539953805,0.41735412917478243,6.754258588364965e-06,99.29163837432861,0.8679921773142112
20,1.0015506620208423,0.05256065126983837,0.9961698313095917,0.47334849384302896,0.8657105606258149,0.13045927068377683,0.4207878425731906,6.078832729528469e-06,99.48978614807129,0.8679921773142112
21,1.0005032029002905,0.048043986350724786,0.9976367044250672,0.4676929083264743,0.8696219035202086,0.12801480090485862,0.41964892197574954,5.470949456575622e-06,99.38047885894775,0.8696219035202086
22,0.9913912370490531,0.046096235319661595,0.9976367044250672,0.4760818518310164,0.8595176010430248,0.13811910338204247,0.4299856165113548,4.92385451091806e-06,99.56003952026367,0.8696219035202086
23,0.9952652875023583,0.04533817514584371,0.9978811832776465,0.46611715697993833,0.8699478487614081,0.12793333451623845,0.4207789818340946,4.431469059826254e-06,99.49927568435669,0.8699478487614081
24,0.9848156051399807,0.03766175285333399,0.9979626762285062,0.46754978438063216,0.8679921773142112,0.12997049891429502,0.42988803152729815,3.9883221538436285e-06,99.47824788093567,0.8699478487614081
25,0.9907413995824754,0.041744681007609565,0.998370140982805,0.4662054765891905,0.8715775749674055,0.12679256601539945,0.4244607955815809,3.5894899384592657e-06,99.54546356201172,0.8715775749674055
26,0.9825755155955752,0.03605955619574767,0.998044169179366,0.46429862768854946,0.8709256844850065,0.1271184846943595,0.42823907149280177,3.230540944613339e-06,99.54342794418335,0.8715775749674055
27,0.9784063473343849,0.035552127966335924,0.9985331268845244,0.47135417532020557,0.8689700130378096,0.12956311384671482,0.4358020473538696,2.907486850152005e-06,99.59705471992493,0.8715775749674055
