epoch,train_loss,train_eval_loss,train_eval_acc,test_loss,test_acc,acc_gap,loss_gap,lr,epoch_time_sec,best_test_acc_so_far
1,1.6727152507131298,1.9367876697797328,0.5706951348708337,2.0708308996011815,0.5612777053455019,0.009417429525331755,0.13404322982144867,0.00018,98.73005723953247,0.5612777053455019
2,1.4731585395832856,1.5912994825436424,0.6241545106348301,1.6204471352199714,0.6082138200782269,0.015940690556603188,0.029147652676329017,0.000162,98.86011862754822,0.6082138200782269
3,1.3748010299168527,1.250903862528503,0.6231765952245131,1.2945071458816528,0.597457627118644,0.025718968105869044,0.04360328335314989,0.00014580000000000002,98.8899827003479,0.6082138200782269
4,1.346997106137375,1.4465815133104722,0.6844592942710456,1.382863183816274,0.6548239895697523,0.029635304701293275,-0.06371832949419831,0.00013122000000000003,99.12312531471252,0.6548239895697523
5,1.2804106834034126,1.2078532211016864,0.7384076277402005,1.643474302565058,0.6929595827900913,0.045448044950109234,0.43562108146337164,0.00011809800000000003,99.09584617614746,0.6929595827900913
6,1.2422281747373443,2.4640378046315163,0.6613967891777361,2.6671877863506475,0.621251629726206,0.04014515945153019,0.20314998171913112,0.00010628820000000004,99.09024834632874,0.6929595827900913
7,1.2143354780661564,0.7828129810125878,0.7894222149784044,1.0166875426657498,0.7232724902216427,0.06614972475676162,0.233874561653162,9.565938000000004e-05,99.13022685050964,0.7232724902216427
8,1.1743660493132968,0.8193128793500364,0.808165593676147,1.0385899029982586,0.7183833116036505,0.0897822820724965,0.2192770236482222,8.609344200000004e-05,99.23702597618103,0.7232724902216427
9,1.1454123579896986,0.5024852316031078,0.8466302664819493,0.7255151147643725,0.741199478487614,0.10543078799433525,0.2230298831612647,7.748409780000004e-05,99.12383937835693,0.741199478487614
10,1.1192844559748967,0.540965550870169,0.8558389699291011,0.917466436047107,0.7480443285528031,0.10779464137629802,0.376500885176938,6.973568802000003e-05,99.12488293647766,0.7480443285528031
11,1.0930167213082314,0.4187463423004374,0.8739304050199658,0.7156284960607687,0.7509778357235984,0.12295256929636733,0.29688215376033134,6.276211921800003e-05,99.19638586044312,0.7509778357235984
12,1.0550382014674444,0.3212049066108496,0.9089723738896586,0.6742462063363442,0.7627118644067796,0.14626050948287894,0.35304129972549464,5.6485907296200035e-05,99.19589972496033,0.7627118644067796
13,1.030708028934896,0.2779927908656343,0.9260044006193464,0.6781281656585634,0.7711864406779662,0.15481795994138026,0.4001353747929291,5.083731656658003e-05,99.17104578018188,0.7711864406779662
14,0.9967801016755402,0.19751801357536655,0.9554233558797164,0.6631020114291459,0.7669491525423728,0.18847420333734355,0.46558399785377935,4.575358490992203e-05,99.21278762817383,0.7711864406779662
15,0.9560810031058887,0.16675836171392197,0.9638171298182707,0.6928871277098855,0.7584745762711864,0.2053425535470843,0.5261287659959635,4.117822641892983e-05,99.15659356117249,0.7711864406779662
