class_id,precision,recall,f1_score,support
0,0.8312101910828026,0.7933130699088146,0.8118195956454121,329
1,0.7317073170731707,0.40540540540540543,0.5217391304347826,74
2,0.5384615384615384,0.35,0.4242424242424242,160
3,0.90848026868178,0.9130801687763713,0.9107744107744108,1185
4,0.6850393700787402,0.7280334728033473,0.7058823529411765,478
5,0.676829268292683,0.6851851851851852,0.6809815950920246,162
6,0.7198391420911529,0.7897058823529411,0.7531556802244039,680
